City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Milkovo,RU,54.7167,158.6167,21.78,82,100,3.62,light snow
205,Tayoltita,MX,24.0833,-105.9333,81.39,12,27,8.5,scattered clouds
206,Prince George,CA,53.9166,-122.753,45.0,70,90,18.41,light rain
207,Lorengau,PG,-2.0226,147.2712,82.0,81,94,8.57,overcast clouds
208,Eufaula,US,31.8913,-85.1455,84.2,54,75,9.22,broken clouds
209,Waipawa,NZ,-41.4122,175.5153,68.0,64,90,19.57,overcast clouds
210,Tura,IN,25.5198,90.2201,69.91,15,0,2.66,clear sky
211,Paamiut,GL,61.994,-49.6678,1.26,79,4,26.19,clear sky
212,Bozoum,CF,6.3193,16.3799,75.07,60,73,3.83,light rain
213,Ellisras,ZA,-23.6649,27.7443,70.56,37,16,4.21,few clouds
214,Oum Hadjer,TD,13.2954,19.6966,81.95,12,12,18.12,few clouds
215,San Quintin,MX,30.4833,-115.95,66.65,38,0,11.61,clear sky
216,Along,IN,28.1667,94.7667,58.23,46,0,1.72,clear sky
217,Antofagasta,CL,-23.65,-70.4,62.6,77,20,11.5,few clouds
218,Kavaratti,IN,10.5669,72.642,82.51,78,100,3.18,overcast clouds
219,Sitka,US,57.0531,-135.33,37.4,75,75,5.75,light snow
220,Hilo,US,19.7297,-155.09,75.2,78,90,6.91,moderate rain
221,Aylesbury,GB,51.8167,-0.8146,48.0,80,100,7.0,overcast clouds
222,Skibbereen,IE,51.55,-9.2667,48.2,100,75,28.77,broken clouds
223,Amapa,BR,1.0,-52.0,72.05,98,100,3.24,moderate rain
224,Ternate,ID,0.8,127.4,79.81,87,100,11.12,heavy intensity rain
225,Panama City,PA,8.9936,-79.5197,89.6,55,20,17.27,few clouds
226,Aklavik,CA,68.2191,-135.0107,-2.2,60,20,8.05,few clouds
227,Shwebo,MM,22.5667,95.7,79.16,21,97,4.09,overcast clouds
228,Mount Isa,AU,-20.7333,139.5,84.2,23,37,18.41,scattered clouds
229,Trenggalek,ID,-8.05,111.7167,75.2,93,97,2.55,overcast clouds
230,Namibe,AO,-15.1961,12.1522,74.82,76,100,3.31,light rain
231,Qui Nhon,VN,13.7667,109.2333,73.85,90,99,4.18,overcast clouds
232,El Tocuyo,VE,9.7873,-69.7937,74.73,67,100,2.3,overcast clouds
233,Itarema,BR,-2.9248,-39.9167,76.28,86,53,8.12,broken clouds
234,Dukat,RU,62.55,155.55,3.81,75,54,2.04,broken clouds
235,Lompoc,US,34.6391,-120.4579,71.01,55,0,17.27,clear sky
236,Manaure,CO,11.7751,-72.4445,82.53,58,41,21.94,scattered clouds
237,Khatanga,RU,71.9667,102.5,-0.22,97,99,8.03,overcast clouds
238,Hambantota,LK,6.1241,81.1185,77.0,79,84,4.74,broken clouds
239,Kemijarvi,FI,66.7131,27.4306,36.68,96,100,11.41,light rain
240,Kampot,KH,10.6167,104.1833,82.4,74,20,3.44,few clouds
241,Hailar,CN,49.2,119.7,35.67,64,44,9.42,scattered clouds
242,Myitkyina,MM,25.3833,97.4,61.25,36,0,1.99,clear sky
243,Thinadhoo,MV,0.5333,72.9333,81.91,77,100,12.73,overcast clouds
244,Shu,KZ,43.5983,73.7614,51.37,86,97,7.92,overcast clouds
245,Nang Rong,TH,14.6377,102.7914,84.0,100,89,4.99,overcast clouds
246,Rajula,IN,21.05,71.4333,81.64,30,2,9.91,clear sky
247,Outram,MY,1.2829,103.8379,77.0,94,75,0.67,broken clouds
248,Sabang,ID,5.8933,95.3214,82.02,71,93,4.92,overcast clouds
249,Maralal,KE,1.0968,36.698,61.57,60,100,3.98,overcast clouds
250,Tual,ID,-5.6667,132.75,80.91,83,100,15.19,light rain
251,Avera,US,33.194,-82.5271,82.4,61,1,5.75,clear sky
252,Tiarei,PF,-17.5333,-149.3333,87.8,55,40,9.22,light rain
253,Svobodnyy,RU,51.4,128.1333,33.53,91,100,9.06,overcast clouds
254,Bethel,US,41.3712,-73.414,62.6,39,1,1.74,clear sky
255,Mezhdurechenskiy,RU,59.6,65.9333,12.43,96,47,6.02,scattered clouds
256,Mahibadhoo,MV,3.7833,72.9667,79.39,81,100,8.59,overcast clouds
257,Amahai,ID,-3.3333,128.9167,77.13,91,100,6.78,moderate rain
258,Kropotkin,RU,45.4375,40.5756,41.0,77,88,13.53,light rain
259,Oranjemund,NA,-28.55,16.4333,59.76,84,12,12.73,few clouds
260,Nyagan,RU,62.1406,65.3936,5.76,99,95,2.71,overcast clouds
261,Half Moon Bay,US,37.4636,-122.4286,75.2,67,1,9.22,haze
262,Egvekinot,RU,66.3167,-179.1667,-7.89,94,72,4.61,broken clouds
263,Alice Town,BS,25.7167,-79.3,76.96,77,0,19.39,clear sky
264,Yerbogachen,RU,61.2767,108.0108,12.25,97,100,5.14,overcast clouds
265,Nome,US,64.5011,-165.4064,7.0,72,1,1.9,clear sky
266,Gornyy,RU,55.1153,83.9059,34.0,90,100,5.99,light snow
267,Bitlis,TR,38.5,42.25,9.34,86,24,3.44,few clouds
268,Kosh-Agach,RU,50.0,88.6667,6.12,76,18,4.54,few clouds
269,North Bend,US,43.4065,-124.2243,70.0,71,1,16.11,clear sky
270,Alta Floresta,BR,-9.8756,-56.0861,72.52,94,34,2.82,scattered clouds
271,Ketchikan,US,55.3422,-131.6461,44.6,100,90,8.05,moderate rain
272,Victor Harbor,AU,-35.5667,138.6167,64.99,68,59,5.35,broken clouds
273,Komsomolskiy,UZ,40.4272,71.7189,53.6,94,90,4.61,light rain
274,Helong,CN,42.5397,128.9972,40.01,97,100,2.59,moderate rain
275,Bagdarin,RU,54.4333,113.6,11.32,90,95,5.44,overcast clouds
276,Machinga,MW,-15.1685,35.3,66.63,93,39,2.17,scattered clouds
277,Arlit,NE,18.7369,7.3853,68.68,17,0,9.06,clear sky
278,Okakarara,NA,-20.5833,17.4333,72.95,43,82,4.16,broken clouds
279,Anadyr,RU,64.75,177.4833,1.4,66,0,6.71,clear sky
280,Hanko,FI,59.8333,22.95,42.01,73,98,1.01,overcast clouds
281,Pisco,PE,-13.7,-76.2167,70.0,73,0,18.41,clear sky
282,Puerto Carreno,CO,6.189,-67.4859,85.05,53,94,5.97,overcast clouds
283,Mujiayingzi,CN,42.1167,118.7833,39.56,40,58,18.92,broken clouds
284,Provost,CA,52.3501,-110.2683,48.2,46,99,9.22,overcast clouds
285,George,ZA,-33.963,22.4617,57.2,82,0,3.44,clear sky
286,Bintulu,MY,3.1667,113.0333,77.0,94,40,3.44,scattered clouds
287,Ashta,IN,23.0167,76.7167,78.03,19,0,4.16,clear sky
288,Provideniya,RU,64.3833,-173.3,2.1,93,100,4.7,overcast clouds
289,Haines Junction,CA,60.7522,-137.5108,26.6,59,100,12.66,overcast clouds
290,Dalvik,IS,65.9702,-18.5286,17.6,86,90,10.36,light snow
291,Torbay,CA,47.6666,-52.7314,28.0,93,90,32.21,snow
292,Westport,US,41.1415,-73.3579,59.0,62,1,12.66,clear sky
293,Kirkwall,GB,58.9848,-2.9587,42.8,87,20,33.38,few clouds
294,Constitucion,CL,-35.3333,-72.4167,60.78,68,67,13.22,broken clouds
295,Ust-Omchug,RU,61.15,149.6333,-1.64,96,95,2.04,overcast clouds
296,Bend,US,44.0582,-121.3153,69.8,11,1,5.75,clear sky
297,Ikeda,JP,34.8221,135.4298,59.0,72,75,6.91,broken clouds
298,Terney,RU,45.0503,136.6092,38.93,89,99,1.72,overcast clouds
299,Glomfjord,NO,66.8167,13.9667,39.2,87,75,6.91,light rain
300,Benguela,AO,-12.5763,13.4055,77.34,80,51,4.61,broken clouds
301,Fare,PF,-16.7,-151.0167,82.26,74,38,21.12,scattered clouds
302,Naze,JP,28.3667,129.4833,69.8,100,75,17.27,broken clouds
303,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,75,5.75,broken clouds
304,Ribeira Brava,PT,32.65,-17.0667,64.4,88,75,14.97,broken clouds
305,Novovasylivka,UA,46.8315,35.7536,40.35,85,74,3.09,broken clouds
306,Machaneng,BW,-23.1862,27.4886,70.41,35,3,3.71,clear sky
307,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,47,98,26.84,overcast clouds
308,Hovd,MN,48.0056,91.6419,26.02,30,6,1.7,clear sky
309,Quzhou,CN,28.9594,118.8686,63.82,92,98,3.6,overcast clouds
310,Barisal,BD,22.7019,90.3711,75.0,56,28,5.26,scattered clouds
311,Setermoen,NO,68.861,18.3486,33.8,93,100,3.74,snow
312,Ambulu,ID,-8.345,113.6058,75.52,89,73,2.86,broken clouds
313,Tasiilaq,GL,65.6145,-37.6368,21.2,45,90,24.16,light snow
314,Wadi Musa,JO,30.3222,35.4793,42.03,57,0,2.62,clear sky
315,Zaysan,KZ,47.4667,84.8667,30.96,83,62,3.74,broken clouds
316,Matadi,CD,-5.8167,13.45,76.93,94,92,3.11,overcast clouds
317,The Valley,AI,18.217,-63.0578,78.8,73,75,12.66,broken clouds
318,Puerto Penasco,MX,31.3167,-113.5333,69.01,56,0,11.01,clear sky
319,Saint George,US,37.1041,-113.5841,70.0,19,1,4.61,clear sky
320,Abonnema,NG,4.7084,6.7931,80.6,83,20,4.97,few clouds
321,Inhambane,MZ,-23.865,35.3833,71.06,92,4,7.47,clear sky
322,The Pas,CA,53.8251,-101.2541,30.2,43,1,17.27,clear sky
323,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,0,5.75,clear sky
324,Asyut,EG,27.181,31.1837,55.4,50,0,13.8,clear sky
325,Sosnovskoye,RU,55.8052,43.167,23.0,86,0,4.05,clear sky
326,Bartica,GY,6.4,-58.6167,78.8,89,20,6.91,few clouds
327,Rocha,UY,-34.4833,-54.3333,66.99,90,100,5.57,overcast clouds
328,Port-Gentil,GA,-0.7193,8.7815,78.8,94,20,2.3,few clouds
329,Mamallapuram,IN,12.6264,80.1722,77.0,88,40,2.3,mist
330,San Mauro Torinese,IT,45.1058,7.7545,55.0,82,20,3.44,few clouds
331,Hualmay,PE,-11.0964,-77.6139,71.46,78,21,6.67,few clouds
332,Sur,OM,22.5667,59.5289,81.7,42,58,8.55,broken clouds
333,Batagay,RU,67.6333,134.6333,8.8,92,100,1.7,overcast clouds
334,Tuy Hoa,VN,13.0833,109.3,72.66,93,100,3.49,overcast clouds
335,Santa Clara,CU,22.4,-79.9667,80.6,69,20,19.57,light rain
336,Truro,GB,50.2653,-5.0544,50.0,81,75,19.57,broken clouds
337,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,16.11,clear sky
338,Lata,PT,40.1629,-8.3327,57.0,84,19,1.01,few clouds
339,Kokopo,PG,-4.352,152.2633,82.45,68,100,4.43,overcast clouds
340,Mokhsogollokh,RU,61.4681,128.9203,14.72,94,82,4.27,broken clouds
341,Griffith,US,41.5284,-87.4237,60.8,77,90,14.97,heavy intensity rain
342,Nacogdoches,US,31.6002,-94.6335,81.0,83,75,8.05,broken clouds
343,Alice Springs,AU,-23.7,133.8833,73.4,60,41,9.22,scattered clouds
344,Tomari,RU,47.7658,142.0683,36.79,96,100,6.17,light rain
345,Basco,PH,20.4487,121.9702,79.74,85,8,17.29,clear sky
346,Adiake,CI,5.2863,-3.304,80.6,89,20,3.44,few clouds
347,Shache,CN,38.4167,77.2406,52.3,46,70,9.33,broken clouds
348,Pangody,RU,65.85,74.4859,-11.2,99,16,7.76,few clouds
349,Khirkiya,IN,22.1674,76.8605,80.08,17,0,2.68,clear sky
350,Irara,BR,-12.05,-38.7667,72.27,74,87,10.33,overcast clouds
