City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Fortuna,US,2021-03-25 02:25:18,40.5982,-124.1573,48.99,93,90,8.05
120,Sochi,RU,2021-03-25 02:24:18,43.6,39.7303,39.2,93,90,4.47
121,Mountain Home,US,2021-03-25 02:25:18,43.133,-115.6912,46.4,36,90,5.75
122,La Primavera,CO,2021-03-25 02:25:19,5.4906,-70.4092,78.69,76,99,3.31
123,Umm Lajj,SA,2021-03-25 02:25:19,25.0213,37.2685,69.8,40,0,14.63
124,Flinders,AU,2021-03-25 02:25:19,-34.5833,150.8552,80.01,64,34,3.0
125,Yerbogachen,RU,2021-03-25 02:25:20,61.2767,108.0108,16.81,88,100,7.81
126,Omboue,GA,2021-03-25 02:25:20,-1.5746,9.2618,77.05,85,100,4.56
127,Oeiras Do Para,BR,2021-03-25 02:25:21,-2.0031,-49.8544,72.93,98,100,3.74
128,Santa Cruz,BO,2021-03-25 02:25:21,-17.8,-63.1667,73.4,94,75,3.44
129,Luau,AO,2021-03-25 02:25:21,-10.7073,22.2247,63.57,98,100,3.13
130,Tobermory,CA,2021-03-25 02:25:22,45.2501,-81.6665,51.8,82,97,6.91
131,Quelimane,MZ,2021-03-25 02:25:22,-17.8786,36.8883,75.2,94,20,4.25
132,Port Hedland,AU,2021-03-25 02:25:22,-20.3167,118.5667,91.4,52,7,3.44
133,Carnarvon,AU,2021-03-25 02:25:23,-24.8667,113.6333,78.8,61,16,17.27
134,Kahului,US,2021-03-25 02:21:34,20.8947,-156.47,78.8,69,40,6.91
135,Shelburne,CA,2021-03-25 02:25:23,44.0787,-80.2041,53.01,78,1,14.65
136,Klaksvik,FO,2021-03-25 02:25:23,62.2266,-6.589,37.4,93,20,3.44
137,Hualmay,PE,2021-03-25 02:25:24,-11.0964,-77.6139,70.7,81,100,10.04
138,Lata,PT,2021-03-25 02:25:24,40.1629,-8.3327,42.01,90,3,2.57
139,Harnosand,SE,2021-03-25 02:25:24,62.6323,17.9379,36.0,93,99,4.61
140,Bengkulu,ID,2021-03-25 02:25:25,-3.8004,102.2655,77.52,75,100,1.52
141,Fomboni,KM,2021-03-25 02:25:25,-12.28,43.7425,82.74,71,16,3.6
142,Sorong,ID,2021-03-25 02:25:26,-0.8833,131.25,78.82,84,100,4.14
143,Kapaa,US,2021-03-25 02:25:26,22.0752,-159.319,81.0,73,20,10.36
144,Bitung,ID,2021-03-25 02:25:26,1.4451,125.1824,82.4,78,40,2.3
145,Bunia,CD,2021-03-25 02:25:26,1.5667,30.25,67.77,66,100,1.36
146,Aklavik,CA,2021-03-25 02:25:27,68.2191,-135.0107,15.8,57,100,2.3
147,Parker,US,2021-03-25 02:25:14,32.7668,-97.8003,57.99,72,99,7.0
148,Bethel,US,2021-03-25 02:25:28,41.3712,-73.414,51.01,95,100,5.01
149,Novikovo,RU,2021-03-25 02:25:28,51.1537,37.8879,30.54,87,100,13.6
150,Nouakchott,MR,2021-03-25 02:25:28,18.0858,-15.9785,67.06,71,0,16.96
151,Erdenet,MN,2021-03-25 02:25:29,49.0333,104.0833,39.94,33,100,3.36
152,Bjornevatn,NO,2021-03-25 02:25:29,69.6672,29.9847,35.6,60,90,20.71
153,Verkhoyansk,RU,2021-03-25 02:25:29,67.5447,133.385,-8.61,84,99,2.42
154,Banepa,NP,2021-03-25 02:25:30,27.6298,85.5214,60.8,55,20,2.3
155,Namibe,AO,2021-03-25 02:25:30,-15.1961,12.1522,72.48,83,100,6.17
156,Bluff,NZ,2021-03-25 02:25:30,-46.6,168.3333,64.0,73,13,1.99
157,Oranjemund,NA,2021-03-25 02:25:31,-28.55,16.4333,63.23,86,0,4.12
158,Tawang,IN,2021-03-25 02:25:31,27.5833,91.8667,49.33,43,20,3.4
159,Geraldton,AU,2021-03-25 02:25:31,-28.7667,114.6,77.0,41,1,20.71
160,Huarmey,PE,2021-03-25 02:25:32,-10.0681,-78.1522,71.64,79,100,7.31
161,Key West,US,2021-03-25 02:21:27,24.5557,-81.7826,77.0,88,20,14.97
162,Dingle,PH,2021-03-25 02:25:32,10.9995,122.6711,84.85,69,100,15.88
163,San Francisco,US,2021-03-25 02:24:56,37.7749,-122.4194,54.0,66,75,10.36
164,Ponta Delgada,PT,2021-03-25 02:25:32,37.7333,-25.6667,55.4,71,20,12.66
165,Longyearbyen,SJ,2021-03-25 02:25:33,78.2186,15.6401,26.6,74,40,13.8
166,Korla,CN,2021-03-25 02:25:33,41.7597,86.1469,50.65,28,0,6.51
167,Bartlesville,US,2021-03-25 02:25:33,36.7473,-95.9808,52.0,76,1,5.75
168,Naze,JP,2021-03-25 02:22:16,28.3667,129.4833,71.6,64,40,14.97
169,Sitka,US,2021-03-25 02:25:34,57.0531,-135.33,37.4,87,90,10.36
170,Pevek,RU,2021-03-25 02:25:34,69.7008,170.3133,-10.59,89,100,2.08
171,Marawi,PH,2021-03-25 02:25:34,7.9986,124.2928,82.99,78,100,5.99
172,Half Moon Bay,US,2021-03-25 02:25:35,37.4636,-122.4286,54.0,81,40,11.5
173,Narsaq,GL,2021-03-25 02:25:35,60.9167,-46.05,15.8,53,75,11.5
174,Manta,EC,2021-03-25 02:21:53,-0.95,-80.7333,77.0,83,40,5.75
175,Talcahuano,CL,2021-03-25 02:25:35,-36.7167,-73.1167,53.6,62,0,12.66
176,Victoria,HK,2021-03-25 02:23:06,22.2855,114.1577,73.0,72,82,4.0
177,Pangnirtung,CA,2021-03-25 02:25:36,66.1451,-65.7125,-26.91,96,100,3.71
178,Requena,ES,2021-03-25 02:25:36,39.4883,-1.1004,51.01,88,2,3.0
179,Hutchinson,US,2021-03-25 02:24:10,38.0608,-97.9298,46.4,71,90,5.75
180,Yulara,AU,2021-03-25 02:25:37,-25.2406,130.9889,84.2,32,0,17.27
181,Tura,IN,2021-03-25 02:25:37,25.5198,90.2201,83.05,18,6,4.45
182,Corum,TR,2021-03-25 02:25:38,40.5,34.75,22.69,85,100,8.39
183,Burnie,AU,2021-03-25 02:25:38,-41.0667,145.9167,61.92,79,100,16.84
184,Bahia Honda,CU,2021-03-25 02:25:38,22.9036,-83.1592,75.02,84,51,8.25
185,Bambanglipuro,ID,2021-03-25 02:25:38,-7.95,110.2833,83.44,72,99,4.99
186,Hamilton,US,2021-03-25 02:25:30,39.1834,-84.5333,64.99,48,20,4.61
187,Nouadhibou,MR,2021-03-25 02:25:39,20.931,-17.0347,62.6,94,75,13.8
188,Saskylakh,RU,2021-03-25 02:25:39,71.9167,114.0833,-2.29,90,100,9.75
189,Trincomalee,LK,2021-03-25 02:25:40,8.5711,81.2335,82.13,74,100,7.43
190,Comodoro Rivadavia,AR,2021-03-25 02:21:47,-45.8667,-67.5,59.0,44,0,5.75
191,Dandong,CN,2021-03-25 02:25:40,40.1292,124.3947,50.43,71,31,9.35
192,Sioux Lookout,CA,2021-03-25 02:25:40,50.1001,-91.917,24.8,80,75,5.75
193,Mayskiy,RU,2021-03-25 02:25:41,47.6931,40.1025,33.8,93,90,11.18
194,Zwedru,LR,2021-03-25 02:25:41,6.0667,-8.1281,74.73,95,100,2.84
195,Baykit,RU,2021-03-25 02:25:41,61.67,96.37,24.12,94,100,3.33
196,Katsina,NG,2021-03-25 02:25:42,12.9894,7.6006,78.33,18,70,7.85
197,Itarema,BR,2021-03-25 02:25:42,-2.9248,-39.9167,77.76,85,90,6.33
198,Dubinino,RU,2021-03-25 02:25:42,55.6192,89.0911,26.31,77,99,14.7
199,Canutama,BR,2021-03-25 02:25:43,-6.5339,-64.3831,70.92,98,83,1.14
200,Baijiantan,CN,2021-03-25 02:22:10,45.6333,85.1833,35.2,52,41,9.82
201,Ixtapa,MX,2021-03-25 02:25:43,20.7,-105.2,71.6,64,40,5.75
202,Ilirska Bistrica,SI,2021-03-25 02:25:43,45.5697,14.2408,34.0,80,0,3.47
203,Labuhan,ID,2021-03-25 02:25:44,-6.8844,112.2051,83.01,74,100,3.8
204,Mbeya,TZ,2021-03-25 02:25:44,-8.9,33.45,58.37,95,99,4.07
205,Praia,CV,2021-03-25 02:25:44,14.9215,-23.5087,68.0,77,0,14.97
206,Saint-Georges,GD,2021-03-25 02:25:45,12.0564,-61.7485,78.8,78,20,8.05
207,Verkhnevilyuysk,RU,2021-03-25 02:25:45,63.4453,120.3167,6.46,90,97,3.2
208,Port Blair,IN,2021-03-25 02:25:45,11.6667,92.75,84.29,71,61,8.05
209,Winslow,US,2021-03-25 02:25:46,35.0242,-110.6974,42.01,75,40,6.91
210,San Patricio,US,2021-03-25 02:25:46,28.017,-97.5169,71.01,100,90,12.66
211,Westport,US,2021-03-25 02:25:46,41.1415,-73.3579,50.0,93,90,13.8
212,Faya,SA,2021-03-25 02:25:47,18.3851,42.4509,59.0,54,0,4.61
213,Alofi,NU,2021-03-25 02:25:47,-19.0595,-169.9187,86.0,74,40,9.22
214,Saint-Joseph,RE,2021-03-25 02:25:48,-21.3667,55.6167,77.0,69,0,4.61
215,Ponta Do Sol,PT,2021-03-25 02:25:48,32.6667,-17.1,55.99,66,99,3.0
216,Olafsvik,IS,2021-03-25 02:25:48,64.8945,-23.7142,30.72,62,85,7.83
217,Talnakh,RU,2021-03-25 02:25:49,69.4865,88.3972,16.14,94,100,10.87
218,Nabire,ID,2021-03-25 02:25:49,-3.3667,135.4833,85.41,64,95,2.59
219,Kokopo,PG,2021-03-25 02:25:49,-4.352,152.2633,83.89,67,52,3.8
220,Denpasar,ID,2021-03-25 02:25:50,-8.65,115.2167,84.2,79,40,3.44
221,Cordoba,AR,2021-03-25 02:24:45,-31.4135,-64.1811,71.01,94,75,1.14
222,Sao Joao Da Barra,BR,2021-03-25 02:25:50,-21.6403,-41.0511,76.19,89,3,3.96
223,Guerrero Negro,MX,2021-03-25 02:25:51,27.9769,-114.0611,57.7,75,0,14.56
224,Russell,US,2021-03-25 02:25:51,32.3502,-85.1999,62.6,94,75,4.63
225,Rocha,UY,2021-03-25 02:25:51,-34.4833,-54.3333,61.57,92,2,6.15
226,Baghdad,IQ,2021-03-25 02:22:02,33.3406,44.4009,62.6,45,83,13.8
227,Ahipara,NZ,2021-03-25 02:25:52,-35.1667,173.1667,69.24,58,19,3.09
228,Aykhal,RU,2021-03-25 02:25:52,66.0,111.5,3.72,92,100,9.62
229,Lebu,CL,2021-03-25 02:25:52,-37.6167,-73.65,54.32,68,54,18.61
230,Ballina,AU,2021-03-25 02:25:53,-28.8667,153.5667,82.4,39,0,8.05
231,Clyde River,CA,2021-03-25 02:25:53,70.4692,-68.5914,-16.6,63,40,17.27
232,Sechura,PE,2021-03-25 02:25:53,-5.5569,-80.8222,75.56,68,100,13.87
233,Zapolyarnyy,RU,2021-03-25 02:21:14,69.4154,30.8136,35.6,60,90,20.71
234,Pasighat,IN,2021-03-25 02:25:54,28.0667,95.3333,84.38,25,39,0.96
235,Port Lincoln,AU,2021-03-25 02:25:54,-34.7333,135.8667,67.06,52,5,12.15
236,Meulaboh,ID,2021-03-25 02:21:06,4.1363,96.1285,78.12,81,85,1.92
237,Rio Grande,BR,2021-03-25 02:24:33,-32.035,-52.0986,70.0,89,0,11.5
238,Uyovu,TZ,2021-03-25 02:25:55,-3.2833,31.5258,61.41,97,100,4.09
239,Ceyhan,TR,2021-03-25 02:25:55,37.0247,35.8175,53.01,49,40,17.27
240,Ulaanbaatar,MN,2021-03-25 02:25:55,47.9077,106.8832,44.6,18,75,4.47
241,Tiznit,MA,2021-03-25 02:25:55,29.5833,-9.5,64.26,22,0,5.59
242,Capreol,CA,2021-03-25 02:25:56,46.706,-80.9225,51.01,93,90,13.8
243,Qaanaaq,GL,2021-03-25 02:25:56,77.484,-69.3632,-19.48,55,15,8.28
244,Praya,CV,2021-03-25 02:25:57,14.9215,-23.5087,68.0,77,0,14.97
245,Orodara,BF,2021-03-25 02:25:57,10.9492,-4.9342,81.45,14,82,3.67
246,Wonthaggi,AU,2021-03-25 02:25:57,-38.6044,145.5913,66.99,70,31,19.95
247,Dunedin,NZ,2021-03-25 02:24:39,-45.8742,170.5036,61.0,80,100,1.01
248,Yambio,SS,2021-03-25 02:25:58,4.5721,28.3955,71.8,70,93,1.05
249,Marzuq,YE,2021-03-25 02:25:58,14.4,46.4667,64.08,23,0,5.03
250,Morgan Hill,US,2021-03-25 02:23:04,37.1305,-121.6544,61.0,25,1,3.74
251,Buzmeyin,TM,2021-03-25 02:25:58,38.0507,58.2056,82.4,21,75,4.61
252,Khasan,RU,2021-03-25 02:25:59,42.4308,130.6434,43.23,72,35,4.52
253,Khovu-Aksy,RU,2021-03-25 02:25:59,51.1333,93.6,25.29,76,87,1.21
254,Ilulissat,GL,2021-03-25 02:25:59,69.2167,-51.1,-4.0,77,90,6.91
255,Yarada,IN,2021-03-25 02:26:00,17.65,83.2667,73.4,88,20,3.44
256,Harper,LR,2021-03-25 02:26:00,4.375,-7.7169,77.83,88,100,2.89
257,Acarau,BR,2021-03-25 02:26:00,-2.8856,-40.12,78.04,85,90,6.87
258,Sesheke,ZM,2021-03-25 02:26:01,-17.4759,24.2968,64.13,91,18,4.65
259,Khatanga,RU,2021-03-25 02:24:13,71.9667,102.5,-5.64,93,46,3.6
260,Vlore,AL,2021-03-25 02:24:26,40.4667,19.4897,43.05,72,6,8.52
261,Tecoanapa,MX,2021-03-25 02:26:01,16.5167,-98.75,76.93,71,0,7.07
262,Paramonga,PE,2021-03-25 02:26:01,-10.6667,-77.8333,71.17,80,100,7.92
263,Vao,NC,2021-03-25 02:26:02,-22.6667,167.4833,76.51,67,25,13.67
